FarmID ,  ParcelID  , Lat        , Lon         , Farm Name               ,  Amount  ,  Weight  ,  Muscle  ,    Fat   ,Features , Front   ,    Leg   ,  Wool , Total
1360661 , 136066    , 64.74508683, -22.30054619, Jörfi                   ,    136   ,    35.3  ,   27.0   ,    1.8   ,   3.9   ,  8.4    ,    17.2  ,  7.9  ,  33.4
1366341 , 136634    , 64.91766061,  -23.2368419, Kverná-Neðri            ,     52   ,    38.5  ,   26.5   ,    2.8   ,   3.8   ,  8.4    ,    17.4  ,  8.1  ,  33.9
7002681 , 700268    , 64.92598232, -23.26025115, Eyrarvegur 12           ,     61   ,    37.9  ,   26.4   ,    2.1   ,   3.9   ,  8.4    ,    17.3  ,  7.9  ,  33.6
1361901 , 136190    , 64.83590601, -23.01112979, Álftavatn               ,    122   ,    38.0  ,   26.4   ,    2.7   ,   3.9   ,  8.3    ,    17.3  ,  8.0  ,  33.6
1360741 , 136074    , 64.82957674, -22.22204906, Mýrdalur                ,    232   ,    42.1  ,   26.4   ,    3.2   ,   3.8   ,  8.3    ,    17.1  ,  7.8  ,  33.2
1361211 , 136121    ,   64.855554, -22.38425974, Þverá                   ,     56   ,    47.7  ,   26.1   ,    3.3   ,   3.7   ,  8.5    ,    16.9  ,  8.2  ,  33.5
1377342 , 137734    , 65.15465746, -21.94113908, Rauðbarðaholt           ,     85   ,    44.9  ,   28.9   ,    4.0   ,   4.1   ,  8.5    ,    17.5  ,  7.9  ,  33.9
1379061 , 137906    , 64.99724199, -21.65280604, Bær                     ,     50   ,    46.0  ,   28.7   ,    3.3   ,   4.1   ,  8.7    ,    17.7  ,  7.9  ,  34.2
1375461 , 137546    , 65.05868369,  -21.5496626, Stóra-Vatnshorn         ,    167   ,    38.8  ,   28.3   ,    3.0   ,   3.9   ,  8.4    ,    17.4  ,  7.8  ,  33.6
1378191 , 137819    , 65.27998692, -22.32616076, Geirmundarstaðir        ,    236   ,    38.1  ,   27.7   ,    2.5   ,   4.0   ,  8.1    ,    17.3  ,  7.9  ,  33.3
1377801 , 137780    , 65.15202371, -22.23595475, Lyngbrekka              ,     77   ,    42.0  ,   27.7   ,    3.6   ,   3.9   ,  8.2    ,    17.1  ,  8.0  ,  33.3
1378261 , 137826    , 65.30903659, -22.24975921, Klifmýri                ,    443   ,    39.6  ,   27.5   ,    2.5   ,   3.9   ,  8.2    ,    17.2  ,  7.8  ,  33.3
1377071 , 137707    , 65.22921637, -21.75437859, Ásgarður                ,     92   ,    41.8  ,   27.5   ,    2.5   ,   4.2   ,  8.3    ,    17.3  ,  7.9  ,  33.4
1375491 , 137549    , 65.05876869, -21.66383715, Vatn                    ,    167   ,    41.7  ,   27.2   ,    3.2   ,   4.0   ,  8.5    ,    17.3  ,  8.0  ,  33.7
1378621 , 137862    , 65.33984843, -21.90696673, Kjarlaksvellir          ,    118   ,    43.2  ,   27.2   ,    3.2   ,   3.8   ,  8.3    ,    17.1  ,  8.0  ,  33.3
1379261 , 137926    , 65.00527008,  -21.5569604, Háafell                 ,     50   ,    44.4  ,   27.0   ,    3.0   ,   3.8   ,  8.3    ,    17.3  ,  7.9  ,  33.5
1379181 , 137918    , 65.00663793, -21.76198093, Geirshlíð               ,     93   ,    39.4  ,   26.8   ,    3.0   ,   3.8   ,  8.2    ,    17.1  ,  8.0  ,  33.3
